"Index","Red","Green","Blue"
"0","768","775","1047"
"1","0","1","61"
"2","0","5","97"
"3","0","1","98"
"4","0","6","139"
"5","2","3","172"
"6","0","11","164"
"7","3","14","290"
"8","0","15","360"
"9","0","8","331"
"10","2","29","385"
"11","5","29","402"
"12","4","30","403"
"13","8","46","541"
"14","9","73","451"
"15","14","91","510"
"16","14","85","545"
"17","16","127","643"
"18","17","175","753"
"19","31","236","915"
"20","30","246","1367"
"21","45","260","2686"
"22","55","357","4086"
"23","58","351","4992"
"24","131","351","5395"
"25","128","460","4976"
"26","144","411","5097"
"27","141","406","3997"
"28","249","484","2686"
"29","318","481","2399"
"30","278","504","2761"
"31","275","586","2650"
"32","453","681","2509"
"33","475","688","2338"
"34","383","798","2087"
"35","430","900","2340"
"36","456","1023","2237"
"37","420","1208","2000"
"38","747","1606","1606"
"39","580","2323","1796"
"40","532","4027","1714"
"41","576","7831","1794"
"42","567","7087","1503"
"43","865","5478","1619"
"44","658","4133","1534"
"45","595","3088","1750"
"46","649","2760","1636"
"47","672","2472","1581"
"48","1012","2479","1504"
"49","651","2356","1548"
"50","778","2327","1869"
"51","743","2439","1885"
"52","699","2090","1801"
"53","1132","1926","1691"
"54","801","2052","2094"
"55","840","1913","2184"
"56","757","1694","2133"
"57","1178","1641","1996"
"58","1067","1787","2228"
"59","955","1702","2465"
"60","819","1652","2393"
"61","999","1640","2277"
"62","1379","1855","2449"
"63","1072","1655","2367"
"64","944","1825","2755"
"65","1089","1590","2467"
"66","1187","1924","2606"
"67","1637","1915","2304"
"68","1117","1818","2572"
"69","1253","1893","2232"
"70","1712","2504","2716"
"71","1190","2083","2292"
"72","1863","1932","2132"
"73","1458","2181","2250"
"74","1479","2345","2316"
"75","1244","2093","2285"
"76","1888","1982","2071"
"77","1607","2377","1970"
"78","1616","2289","2012"
"79","1324","2169","2227"
"80","1520","2134","2306"
"81","2167","2185","2319"
"82","1609","2203","2061"
"83","1509","2060","2524"
"84","1644","2085","2483"
"85","1681","2029","2871"
"86","2364","2007","2737"
"87","1717","1925","2464"
"88","2087","1803","3599"
"89","2307","1998","4100"
"90","1830","1890","4355"
"91","3112","1777","3151"
"92","2729","1917","3994"
"93","2958","2059","3480"
"94","2644","1927","3746"
"95","3492","1922","2947"
"96","3620","2157","4112"
"97","4320","2171","2845"
"98","4448","2504","2982"
"99","7250","6931","6586"
"100","7481","3804","3933"
"101","3497","2504","3000"
"102","6117","3494","2888"
"103","6670","3467","2948"
"104","3242","2695","3084"
"105","6690","3564","3500"
"106","4386","2743","3854"
"107","4215","2388","3375"
"108","4231","2141","3419"
"109","3110","2152","3888"
"110","4318","2283","4347"
"111","2924","2154","3419"
"112","2927","2014","3534"
"113","3078","2169","3773"
"114","2664","2028","3672"
"115","4125","2209","4751"
"116","2647","2312","4357"
"117","3258","2307","3941"
"118","2866","2329","3774"
"119","3083","2407","5169"
"120","4157","2346","4625"
"121","3207","2552","4121"
"122","3534","2537","3840"
"123","3185","2418","4277"
"124","3747","2621","4233"
"125","4027","2705","5340"
"126","3438","2747","4056"
"127","3657","2470","4182"
"128","3675","2719","3898"
"129","4720","2686","4962"
"130","3893","2610","3500"
"131","3549","3027","3589"
"132","4294","2740","3195"
"133","3951","3143","3176"
"134","5508","2931","3414"
"135","3590","3126","3566"
"136","4459","3146","2394"
"137","4224","3749","2473"
"138","3895","3253","2610"
"139","5794","3151","2561"
"140","4177","3212","1901"
"141","4809","3864","1822"
"142","3734","3299","1603"
"143","5652","3699","1584"
"144","4772","3670","1598"
"145","4619","3779","1315"
"146","3854","4144","1137"
"147","4185","3719","1163"
"148","6093","3512","1135"
"149","4633","3934","884"
"150","3741","3262","860"
"151","3996","3996","798"
"152","4287","4343","739"
"153","5548","3692","764"
"154","3380","3258","678"
"155","3553","3839","592"
"156","3925","4426","634"
"157","3061","3183","643"
"158","4761","3176","575"
"159","3020","3491","452"
"160","3184","3178","473"
"161","2435","2898","479"
"162","2690","2925","452"
"163","3306","2743","462"
"164","2190","2369","386"
"165","1782","2694","294"
"166","1820","2355","317"
"167","1975","2178","319"
"168","1940","1798","209"
"169","1234","1931","224"
"170","1284","1938","192"
"171","1189","1583","171"
"172","1506","1481","188"
"173","938","1301","148"
"174","945","1298","115"
"175","823","1083","112"
"176","798","1104","86"
"177","1137","949","104"
"178","764","874","92"
"179","621","766","68"
"180","575","730","43"
"181","659","640","57"
"182","631","639","58"
"183","485","622","41"
"184","470","513","45"
"185","416","542","68"
"186","459","554","125"
"187","452","516","102"
"188","340","543","38"
"189","288","552","84"
"190","293","522","55"
"191","355","374","46"
"192","225","455","52"
"193","204","353","30"
"194","205","400","27"
"195","145","311","22"
"196","224","320","13"
"197","126","299","20"
"198","121","301","7"
"199","106","240","10"
"200","103","202","11"
"201","102","219","7"
"202","74","175","7"
"203","77","141","10"
"204","60","156","4"
"205","65","123","3"
"206","88","101","8"
"207","56","101","4"
"208","68","79","4"
"209","65","54","5"
"210","42","63","1"
"211","46","49","3"
"212","22","41","2"
"213","33","24","1"
"214","24","32","6"
"215","28","25","2"
"216","16","26","5"
"217","10","17","3"
"218","5","17","0"
"219","17","18","4"
"220","13","16","4"
"221","8","10","1"
"222","9","13","2"
"223","4","13","0"
"224","8","5","1"
"225","8","8","1"
"226","10","10","4"
"227","6","5","3"
"228","5","7","1"
"229","4","4","1"
"230","9","8","1"
"231","9","8","0"
"232","9","5","0"
"233","9","4","0"
"234","3","6","1"
"235","2","4","1"
"236","5","6","0"
"237","5","3","4"
"238","4","6","1"
"239","1","3","1"
"240","3","4","0"
"241","8","4","1"
"242","2","3","2"
"243","2","2","1"
"244","3","7","1"
"245","2","6","0"
"246","1","5","0"
"247","4","2","1"
"248","3","3","0"
"249","2","4","0"
"250","3","1","0"
"251","2","2","0"
"252","4","2","1"
"253","0","1","2"
"254","0","0","1"
"255","571","580","544"
"Maen","119.76","108.75","88.39"
"STD","34.53","44.73","40.11"
